date,change,open,close,volume,day change,Articles Polarity,Titles Polarity,Interest
2019-04-01,9.32,282.62,289.18,8110439,-6.560000000000002,0.1,0.02,0
2019-04-02,-3.3,288.3,285.88,5478940,2.420000000000016,0.1,0.02,0
2019-04-03,5.93,287.32,291.81,7929864,-4.490000000000009,0.1,0.02,0
2019-04-04,-24.03,261.89,267.78,23720729,-5.889999999999986,0.25,0.125,4
2019-04-05,7.18,269.86,274.96,13038257,-5.099999999999966,0.0,0.17500000000000002,4
